irrelevant label,English (US)
IETF language tag,en-us
lo.authoring,Authoring
ASSESSMENT_RESULTS,View Results
Accessibility,Alternative text
AccessibilityIconDescription,Describe the icon for assistive technology
ACTIVE_FILE,Active File
AND,and
ADD,Add
ADD_ASSET,Create New
ENTER_NUMBER_OF_QUESTIONS,Number of Questions
ADD_A_FILE,Add File
ADD_ANOTHER,Add another
UPLOAD_A_FILE,Upload File
Administration,Administration
Advanced Edit,Advanced Edit
ALT_TEXT,Alt Text
EDIT_IMAGE_ALTTEXT,Alternative text
Assesses,Assesses
assesses,Assesses
assessment,Assessment
AssessmentShowConfidenceIndicatorTrue,Yes
AssessmentShowConfidenceIndicatorFalse,No
AssessmentCreditType,Credit Type
AssessmentFailExplanation,Click to assign the learner a grade.
AssessmentFormativeDescription,Question Result Feedback
AssessmentFormativeLabel,Show results
asset.assetType,Content Type
asset.edit.courseSetup.label.structure,Structure
ASSET_COPY_SUCCESS,Asset copied
ASSET_COPY_FAILURE,Asset not copied
ASSET_SAVE_FAIL,The asset was not saved!
ASSET_SAVE_SUCCESS,The asset was successfully saved!
ASSET_INVENTORY_COUNT,Count
ASSET_INVENTORY_TYPES,Types
ASSET_PROPERTY_TYPE,Content Property Types
ASSET_SCORE_PERCENT,Score (%)
AssetDurationPlaceholder,Expected Time in Minutes
binDropQuestion.1,Classification
binDropQuestion.1-plural,Classifications
essayQuestion.1,Essay
essayQuestion.1-plural,Essays
fillInTheBlankQuestion.1,Fill In the Blank
fillInTheBlankQuestion.1-plural,Fill In the Blanks
likertScaleQuestion.1,Likert Scale
matchingQuestion.1,Matching
matchingQuestion.1-plural,Matchings
multipleChoiceQuestion.1,Multiple Choice
multipleChoiceQuestion.1-plural,Multiple Choices
multipleSelectQuestion.1,Multiple Select
multipleSelectQuestion.1-plural,Multiple Selects
assetQuestion.openMath,Open Math
orderingQuestion.1,Ordering
orderingQuestion.1-plural,Orderings
ratingScaleQuestion.1,Rating Scale
surveyEssayQuestion.1,Essay
surveyChoiceQuestion.1,Multiple Choice
trueFalseQuestion.1,True or False
trueFalseQuestion.1-plural,True or Falses
